trick_number,trick_name,stance,part,caption_seconds,family,subfamily,modifiers,sibling_key,youtube_url
548,pressure varial heel,Regular,6,220.7,Heelflips,Varial Heel,Pressure,pressure varial heel,https://www.youtube.com/watch?v=GLpC3pRebuI
549,backside cancel flip,Regular,6,223.1,Kickflips,Kickflip,Late|Cancel|Backside,backside cancel flip,https://www.youtube.com/watch?v=GLpC3pRebuI
550,nollie cancel heel,Nollie,6,228,Heelflips,Heelflip,Late|Cancel,cancel heel,https://www.youtube.com/watch?v=GLpC3pRebuI
551,varial flip rewind,Regular,6,230.3,Kickflips,Varial Flip,Rewind,varial flip rewind,https://www.youtube.com/watch?v=GLpC3pRebuI
552,varial flip crossfoot,Regular,6,233,Kickflips,Varial Flip,Crossfoot,varial flip crossfoot,https://www.youtube.com/watch?v=GLpC3pRebuI
553,varial flip late flip,Regular,6,237.9,Kickflips,Varial Flip,Late,varial flip late flip,https://www.youtube.com/watch?v=GLpC3pRebuI
554,nollie flip underflip,Nollie,6,243.3,Kickflips,Kickflip,Underflip,flip underflip,https://www.youtube.com/watch?v=GLpC3pRebuI
555,switch pressure kickflip,Switch,6,249.2,Kickflips,Kickflip,Pressure,pressure kickflip,https://www.youtube.com/watch?v=GLpC3pRebuI
556,fakie cancel heel body varial,Fakie,6,252,Heelflips,Heelflip,Late|Cancel|Body Varial,cancel heel body varial,https://www.youtube.com/watch?v=GLpC3pRebuI
557,fakie frontside cancel heel,Fakie,6,254.6,Heelflips,Heelflip,Late|Cancel|Frontside,frontside cancel heel,https://www.youtube.com/watch?v=GLpC3pRebuI
558,backside 180 impossible,Regular,6,262.2,Impossible,None,Backside|180,backside 180 impossible,https://www.youtube.com/watch?v=GLpC3pRebuI
559,fakie varial flip rewind,Fakie,6,268.6,Kickflips,Varial Flip,Rewind,varial flip rewind,https://www.youtube.com/watch?v=GLpC3pRebuI
560,nollie frontside anti bigspin,Nollie,6,271.5,Shuv-its,Bigspin,Anti|Frontside,frontside anti bigspin,https://www.youtube.com/watch?v=GLpC3pRebuI
561,pressure flip under varial heel,Regular,6,273.8,Kickflips,Kickflip,Pressure|Underflip,pressure flip under varial heel,https://www.youtube.com/watch?v=GLpC3pRebuI
562,hospital heel,Regular,6,279.4,Casper / Hospital,Hospital,,hospital heel,https://www.youtube.com/watch?v=GLpC3pRebuI
563,switch frontside anti bigspin,Switch,6,283.7,Shuv-its,Bigspin,Anti|Frontside,frontside anti bigspin,https://www.youtube.com/watch?v=GLpC3pRebuI
564,switch frontside anti bigspin flip,Switch,6,290.6,Kickflips,Bigflip,Anti|Frontside,frontside anti bigspin flip,https://www.youtube.com/watch?v=GLpC3pRebuI
565,nollie backside anti bigspin,Nollie,6,296.2,Shuv-its,Bigspin,Anti|Backside,backside anti bigspin,https://www.youtube.com/watch?v=GLpC3pRebuI
566,nollie backside anti bigspin flip,Nollie,6,300.7,Kickflips,Bigflip,Anti|Backside,backside anti bigspin flip,https://www.youtube.com/watch?v=GLpC3pRebuI
567,nollie double heel body varial,Nollie,6,305,Heelflips,Heelflip,Body Varial|Double,double heel body varial,https://www.youtube.com/watch?v=GLpC3pRebuI
568,nollie late backside flip,Nollie,6,307.6,Kickflips,Kickflip,Late|Backside,late backside flip,https://www.youtube.com/watch?v=GLpC3pRebuI
569,nollie crossfoot,Nollie,6,311.8,Ollie / Spins,None,Crossfoot,crossfoot,https://www.youtube.com/watch?v=GLpC3pRebuI
570,nollie frontside shuv crossfoot,Nollie,6,314.1,Shuv-its,Shuv-it,Crossfoot|Frontside,frontside shuv crossfoot,https://www.youtube.com/watch?v=GLpC3pRebuI
571,nollie backside shuv crossfoot,Nollie,6,316.1,Shuv-its,Shuv-it,Crossfoot|Backside,backside shuv crossfoot,https://www.youtube.com/watch?v=GLpC3pRebuI
572,switch ollie crossfoot,Switch,6,318.8,Ollie / Spins,None,Crossfoot,ollie crossfoot,https://www.youtube.com/watch?v=GLpC3pRebuI
573,switch front foot impossible crossfoot,Switch,6,321.3,Impossible,None,Crossfoot|Front Foot,front foot impossible crossfoot,https://www.youtube.com/watch?v=GLpC3pRebuI
574,switch front foot impossible late flip,Switch,6,324.3,Impossible,None,Late|Front Foot,front foot impossible late flip,https://www.youtube.com/watch?v=GLpC3pRebuI
575,switch varial flip rewind,Switch,6,330.5,Kickflips,Varial Flip,Rewind,varial flip rewind,https://www.youtube.com/watch?v=GLpC3pRebuI
576,switch double flip frontside body varial,Switch,6,337.1,Kickflips,Kickflip,Body Varial|Double|Frontside,double flip frontside body varial,https://www.youtube.com/watch?v=GLpC3pRebuI
577,fakie backside biggerspin heel,Fakie,6,339.2,Heelflips,Big Heel,Backside,backside biggerspin heel,https://www.youtube.com/watch?v=GLpC3pRebuI
578,inward heel body varial,Regular,6,345.6,Heelflips,Inward Heel,Body Varial,inward heel body varial,https://www.youtube.com/watch?v=GLpC3pRebuI
579,nollie pressure frontside heel,Nollie,6,347.8,Heelflips,Heelflip,Pressure|Frontside,pressure frontside heel,https://www.youtube.com/watch?v=GLpC3pRebuI
580,varial double flip body varial,Regular,6,350.7,Kickflips,Varial Flip,Body Varial|Double,varial double flip body varial,https://www.youtube.com/watch?v=GLpC3pRebuI
581,fakie varial double flip body varial,Fakie,6,353.2,Kickflips,Varial Flip,Body Varial|Double,varial double flip body varial,https://www.youtube.com/watch?v=GLpC3pRebuI
582,fakie bigspin forward flip,Fakie,6,356.1,Shuv-its,Bigspin,,bigspin forward flip,https://www.youtube.com/watch?v=GLpC3pRebuI
583,heelflip late flip,Regular,6,362.2,Heelflips,Heelflip,Late,heelflip late flip,https://www.youtube.com/watch?v=GLpC3pRebuI
584,hard half flip cancel flip,Regular,6,367.6,Kickflips,Hardflip,Late|Cancel|Half,hard half flip cancel flip,https://www.youtube.com/watch?v=GLpC3pRebuI
585,varial double heel body varial,Regular,6,370.3,Heelflips,Varial Heel,Body Varial|Double,varial double heel body varial,https://www.youtube.com/watch?v=GLpC3pRebuI
586,nollie heelflip late shuv,Nollie,6,375.3,Heelflips,Heelflip,Late,heelflip late shuv,https://www.youtube.com/watch?v=GLpC3pRebuI
587,pressure frontside double flip,Regular,6,380.4,Kickflips,Kickflip,Pressure|Double|Frontside,pressure frontside double flip,https://www.youtube.com/watch?v=GLpC3pRebuI
588,backside 360 shuv rewind,Regular,6,385.6,Shuv-its,Shuv-it,Rewind|Backside|360,backside 360 shuv rewind,https://www.youtube.com/watch?v=GLpC3pRebuI
589,fakie varial heel rewind,Fakie,6,389.9,Heelflips,Varial Heel,Rewind,varial heel rewind,https://www.youtube.com/watch?v=GLpC3pRebuI
590,360 inward double heel,Regular,6,392.5,Heelflips,Inward Heel,Double|360,360 inward double heel,https://www.youtube.com/watch?v=GLpC3pRebuI
591,casper flip rewind,Regular,6,403.3,Casper / Hospital,Casper,Rewind,casper flip rewind,https://www.youtube.com/watch?v=GLpC3pRebuI
592,fakie late flip backside body varial,Fakie,6,406.5,Kickflips,Kickflip,Late|Body Varial|Backside,late flip backside body varial,https://www.youtube.com/watch?v=GLpC3pRebuI
593,switch pressure hardflip body varial,Switch,6,414.1,Kickflips,Hardflip,Pressure|Body Varial,pressure hardflip body varial,https://www.youtube.com/watch?v=GLpC3pRebuI
594,switch pressure hard half flip cancel flip,Switch,6,416.6,Kickflips,Hardflip,Pressure|Late|Cancel|Half,pressure hard half flip cancel flip,https://www.youtube.com/watch?v=GLpC3pRebuI
595,switch pressure frontside bigflip,Switch,6,419.1,Kickflips,Bigflip,Pressure|Frontside,pressure frontside bigflip,https://www.youtube.com/watch?v=GLpC3pRebuI
596,switch backside double flip,Switch,6,423.5,Kickflips,Kickflip,Double|Backside,backside double flip,https://www.youtube.com/watch?v=GLpC3pRebuI
